"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","CPI","TOT","AGRWTH","M","1984-03",3.356722,
"CHE","CPI","TOT","AGRWTH","M","1984-04",3.186404,
"CHE","CPI","TOT","AGRWTH","M","1984-05",2.883709,
"CHE","CPI","TOT","AGRWTH","M","1984-06",2.790218,
"CHE","CPI","TOT","AGRWTH","M","1984-07",2.808884,
"CHE","CPI","TOT","AGRWTH","M","1984-08",2.896393,
"CHE","CPI","TOT","AGRWTH","M","1984-09",2.706177,
"CHE","CPI","TOT","AGRWTH","M","1984-10",3.108849,
"CHE","CPI","TOT","AGRWTH","M","1984-11",2.99439,
"CHE","CPI","TOT","AGRWTH","M","1984-12",2.90387,
"CHE","CPI","TOT","AGRWTH","M","1985-01",3.537796,
"CHE","CPI","TOT","AGRWTH","M","1985-02",4.007112,
"CHE","CPI","TOT","AGRWTH","M","1985-03",3.910083,
"CHE","CPI","TOT","AGRWTH","M","1985-04",3.630763,
"CHE","CPI","TOT","AGRWTH","M","1985-05",3.774485,
"CHE","CPI","TOT","AGRWTH","M","1985-06",3.390532,
"CHE","CPI","TOT","AGRWTH","M","1985-07",3.352374,
"CHE","CPI","TOT","AGRWTH","M","1985-08",2.964815,
"CHE","CPI","TOT","AGRWTH","M","1985-09",3.345427,
"CHE","CPI","TOT","AGRWTH","M","1985-10",2.951578,
"CHE","CPI","TOT","AGRWTH","M","1985-11",3.141225,
"CHE","CPI","TOT","AGRWTH","M","1985-12",3.238116,
"CHE","CPI","TOT","AGRWTH","M","1986-01",2.195342,
"CHE","CPI","TOT","AGRWTH","M","1986-02",1.343372,
"CHE","CPI","TOT","AGRWTH","M","1986-03",0.9069416,
"CHE","CPI","TOT","AGRWTH","M","1986-04",0.9747012,
"CHE","CPI","TOT","AGRWTH","M","1986-05",0.7370434,
"CHE","CPI","TOT","AGRWTH","M","1986-06",0.7664654,
"CHE","CPI","TOT","AGRWTH","M","1986-07",0.5052907,
"CHE","CPI","TOT","AGRWTH","M","1986-08",0.7207028,
"CHE","CPI","TOT","AGRWTH","M","1986-09",0.5857041,
"CHE","CPI","TOT","AGRWTH","M","1986-10",0.3605348,
"CHE","CPI","TOT","AGRWTH","M","1986-11",-0.09770297,
"CHE","CPI","TOT","AGRWTH","M","1986-12",0.04001034,
"CHE","CPI","TOT","AGRWTH","M","1987-01",0.6615349,
"CHE","CPI","TOT","AGRWTH","M","1987-02",0.9819962,
"CHE","CPI","TOT","AGRWTH","M","1987-03",0.9985434,
"CHE","CPI","TOT","AGRWTH","M","1987-04",1.180219,
"CHE","CPI","TOT","AGRWTH","M","1987-05",0.9269508,
"CHE","CPI","TOT","AGRWTH","M","1987-06",1.269561,
"CHE","CPI","TOT","AGRWTH","M","1987-07",1.776297,
"CHE","CPI","TOT","AGRWTH","M","1987-08",1.975453,
"CHE","CPI","TOT","AGRWTH","M","1987-09",1.556409,
"CHE","CPI","TOT","AGRWTH","M","1987-10",1.979226,
"CHE","CPI","TOT","AGRWTH","M","1987-11",2.097749,
"CHE","CPI","TOT","AGRWTH","M","1987-12",1.886953,
"CHE","CPI","TOT","AGRWTH","M","1988-01",1.559564,
"CHE","CPI","TOT","AGRWTH","M","1988-02",1.75696,
"CHE","CPI","TOT","AGRWTH","M","1988-03",1.850274,
"CHE","CPI","TOT","AGRWTH","M","1988-04",1.917488,
"CHE","CPI","TOT","AGRWTH","M","1988-05",2.23652,
"CHE","CPI","TOT","AGRWTH","M","1988-06",2.06971,
"CHE","CPI","TOT","AGRWTH","M","1988-07",1.810959,
"CHE","CPI","TOT","AGRWTH","M","1988-08",1.770456,
"CHE","CPI","TOT","AGRWTH","M","1988-09",2.039362,
"CHE","CPI","TOT","AGRWTH","M","1988-10",1.753657,
"CHE","CPI","TOT","AGRWTH","M","1988-11",1.75722,
"CHE","CPI","TOT","AGRWTH","M","1988-12",1.948653,
"CHE","CPI","TOT","AGRWTH","M","1989-01",2.2466,
"CHE","CPI","TOT","AGRWTH","M","1989-02",2.260998,
"CHE","CPI","TOT","AGRWTH","M","1989-03",2.298859,
"CHE","CPI","TOT","AGRWTH","M","1989-04",2.641148,
"CHE","CPI","TOT","AGRWTH","M","1989-05",2.962098,
"CHE","CPI","TOT","AGRWTH","M","1989-06",2.977965,
"CHE","CPI","TOT","AGRWTH","M","1989-07",2.984624,
"CHE","CPI","TOT","AGRWTH","M","1989-08",2.967246,
"CHE","CPI","TOT","AGRWTH","M","1989-09",3.3884,
"CHE","CPI","TOT","AGRWTH","M","1989-10",3.631497,
"CHE","CPI","TOT","AGRWTH","M","1989-11",4.444256,
"CHE","CPI","TOT","AGRWTH","M","1989-12",5.021976,
"CHE","CPI","TOT","AGRWTH","M","1990-01",5.063848,
"CHE","CPI","TOT","AGRWTH","M","1990-02",4.877448,
"CHE","CPI","TOT","AGRWTH","M","1990-03",4.956705,
"CHE","CPI","TOT","AGRWTH","M","1990-04",4.622074,
"CHE","CPI","TOT","AGRWTH","M","1990-05",5.058408,
"CHE","CPI","TOT","AGRWTH","M","1990-06",5.025131,
"CHE","CPI","TOT","AGRWTH","M","1990-07",5.309978,
